﻿Data Class Number,USCDI Data Element,Category Code,ValueSet Name,VSAC Link,VSAC OID,Clinical Judgement,Panel,Panel Item,Comment,USCoreStarterCodes,Gravity
1,SDOH,sdoh,Social Determinants of Health Screening Assessments,https://vsac.nlm.nih.gov/valueset/2.16.840.1.113762.1.4.1247.126/expansion,2.16.840.1.113762.1.4.1247.126,FALSE,TRUE,FALSE,Set of SDOH Panel Codes,TRUE,
,SDOH,sdoh,US Core SDOH Panel item Codes,https://healthedata1.github.io/USCDI4-Sandbox/ValueSet-uscore-common-sdoh-assessments.html,-,FALSE,FALSE,TRUE,,TRUE,
,SDOH,sdoh,Caregiver Availability,https://vsac.nlm.nih.gov/valueset/2.16.840.1.113762.1.4.1222.1058/expansion,2.16.840.1.113762.1.4.1222.1058,FALSE,FALSE,TRUE,,FALSE,TRUE
,SDOH,sdoh,Caregiver Characteristics,https://vsac.nlm.nih.gov/valueset/2.16.840.1.113762.1.4.1222.1057/expansion,2.16.840.1.113762.1.4.1222.1057,FALSE,FALSE,TRUE,,FALSE,TRUE
,SDOH,sdoh,Criminal Justice Involvement or Incarceration History,https://vsac.nlm.nih.gov/valueset/2.16.840.1.113762.1.4.1222.1082/expansion,2.16.840.1.113762.1.4.1222.1082,FALSE,FALSE,TRUE,,FALSE,TRUE
,SDOH,sdoh,Current or Former Occupation,https://vsac.nlm.nih.gov/valueset/2.16.840.1.113762.1.4.1222.1048/expansion,2.16.840.1.113762.1.4.1222.1048,FALSE,FALSE,TRUE,,FALSE,TRUE
,SDOH,sdoh,Dependents in Home,https://vsac.nlm.nih.gov/valueset/2.16.840.1.113762.1.4.1222.1065/expansion,2.16.840.1.113762.1.4.1222.1065,FALSE,FALSE,TRUE,,FALSE,TRUE
,SDOH,sdoh,English Proficiency,https://vsac.nlm.nih.gov/valueset/2.16.840.1.113762.1.4.1222.1030/expansion,2.16.840.1.113762.1.4.1222.1030,FALSE,FALSE,TRUE,,FALSE,TRUE
,SDOH,sdoh,Experiences of Discrimination,https://vsac.nlm.nih.gov/valueset/2.16.840.1.113762.1.4.1222.1080/expansion,2.16.840.1.113762.1.4.1222.1080,FALSE,FALSE,TRUE,,FALSE,TRUE
,SDOH,sdoh,Exposure to Environmental Hazards,https://vsac.nlm.nih.gov/valueset/2.16.840.1.113762.1.4.1222.1075/expansion,2.16.840.1.113762.1.4.1222.1075,FALSE,FALSE,TRUE,,FALSE,TRUE
,SDOH,sdoh,Immigration Status,https://vsac.nlm.nih.gov/valueset/2.16.840.1.113762.1.4.1222.1083/expansion,2.16.840.1.113762.1.4.1222.1083,FALSE,FALSE,TRUE,,FALSE,TRUE
,SDOH,sdoh,Income Level,https://vsac.nlm.nih.gov/valueset/2.16.840.1.113762.1.4.1222.1053/expansion,2.16.840.1.113762.1.4.1222.1053,FALSE,FALSE,TRUE,,FALSE,TRUE
,SDOH,sdoh,Leisure Activity Engagement,https://vsac.nlm.nih.gov/valueset/2.16.840.1.113762.1.4.1222.1069/expansion,2.16.840.1.113762.1.4.1222.1069,FALSE,FALSE,TRUE,,FALSE,TRUE
,SDOH,sdoh,Living Situation,https://vsac.nlm.nih.gov/valueset/2.16.840.1.113762.1.4.1222.1060/expansion,2.16.840.1.113762.1.4.1222.1060,FALSE,FALSE,TRUE,,FALSE,TRUE
,SDOH,sdoh,Marital or Spousal Status,https://vsac.nlm.nih.gov/valueset/2.16.840.1.113762.1.4.1222.1064/expansion,2.16.840.1.113762.1.4.1222.1064,FALSE,FALSE,TRUE,,FALSE,TRUE
,SDOH,sdoh,Neglect,https://vsac.nlm.nih.gov/valueset/2.16.840.1.113762.1.4.1222.1042/expansion,2.16.840.1.113762.1.4.1222.1042,FALSE,FALSE,TRUE,,FALSE,TRUE
,SDOH,sdoh,Physical Activity Level,https://vsac.nlm.nih.gov/valueset/2.16.840.1.113762.1.4.1222.1068/expansion,2.16.840.1.113762.1.4.1222.1068,FALSE,FALSE,TRUE,,FALSE,TRUE
,SDOH,sdoh,Unsafe Neighborhood,https://vsac.nlm.nih.gov/valueset/2.16.840.1.113762.1.4.1222.1076/expansion,2.16.840.1.113762.1.4.1222.1076,FALSE,FALSE,TRUE,,FALSE,TRUE
,SDOH,sdoh,Work Productivity,https://vsac.nlm.nih.gov/valueset/2.16.840.1.113762.1.4.1222.1050/expansion,2.16.840.1.113762.1.4.1222.1050,FALSE,FALSE,TRUE,,FALSE,TRUE
2,Functional Status,functional-status,Functional Status Clinical Assessment,https://vsac.nlm.nih.gov/valueset/2.16.840.1.113762.1.4.1222.1008/expansion,2.16.840.1.113762.1.4.1222.1008,FALSE,FALSE,TRUE,,TRUE,
,Functional Status,functional-status,Bathing or grooming/hygiene (ADL/IADL),https://vsac.nlm.nih.gov/valueset/2.16.840.1.113762.1.4.1222.954/expansion,2.16.840.1.113762.1.4.1222.954,FALSE,FALSE,TRUE,,FALSE,
,Functional Status,functional-status,Bed Mobility (ADL or IADL),https://vsac.nlm.nih.gov/valueset/2.16.840.1.113762.1.4.1222.962/expansion,2.16.840.1.113762.1.4.1222.962,FALSE,FALSE,TRUE,,FALSE,
