DSTU2 Profile,Equivalent US Core Profile,Version Added,Version Retired,Notes
Argonaut AllergyIntolerance Profile,US Core AllergyIntolerance Profile,3.1.1*,,
Argonaut CarePlan Profile,US Core CarePlan Profile,3.1.1*,,Type changed from CarePlan in DSTU2 to CareTeam in R4
Argonaut CareTeam Profile,US Core CareTeam Profile,3.1.1*,,
Argonaut Condition Profile,US Core Condition Profile,3.1.1*,5.0.0,In version 5.0.0 split US Core Condition Profilee into US Core Condition Encounter Diagnosis Profile and US Core Condition Problems and Health Concerns Profile
     -,US Core Condition Encounter Diagnosis Profile,5.0.0,,see above
     -,US Core Condition Problems and Health Concerns Profile,5.0.0,,see above
Argonaut Device Profile,US Core Implantable Device Profile,3.1.1*,,
Argonaut DiagnosticReport Profile,US Core DiagnosticReport Profile for Laboratory Results Reporting,3.1.1*,,
Argonaut DocumentReference Profile,US Core DocumentReference Profile,3.1.1*,,
Argonaut Goal Profile,US Core Goal Profile,3.1.1*,,
Argonaut Immunization Profile,US Core Immunization Profile,3.1.1*,,
Argonaut Medication Profile,US Core Medication Profile,3.1.1*,,
Argonaut MedicationOrder Profile,US Core MedicationRequest Profile,3.1.1*,,
Argonaut MedicationStatement Profile,     -,,,US Core MedicationStatement Profile not defined in 3.1.1*
Argonaut Observation Results Profile,US Core Laboratory Result Observation Profile,3.1.1*,,In Version 6.0.0 derived from US Core Observation Clinical Test Result Profile
Argonaut Patient Profile,US Core Patient Profile,3.1.1*,,
Argonaut Procedure Profile,US Core Procedure Profile,3.1.1*,,
Argonaut Smoking Status Observation Profile,US Core Smoking Status Observation Profile,3.1.1*,,
Argonaut Vital Signs Observation Profile,US Core Vital Signs Profile,4.0.0,,"Previous to version 4.0.0, referenced the FHIR Vital Signs Profile"
     -,US Core Blood Pressure Profile,4.0.0,,"Previous to version 4.0.0, referenced the FHIR Vital Signs Profile"
     -,US Core BMI Profile,4.0.0,,"Previous to version 4.0.0, referenced the FHIR Vital Signs Profile"
     -,US Core Head Circumference Profile,4.0.0,,"Previous to version 4.0.0, referenced the FHIR Vital Signs Profile"
     -,US Core Body Height Profile,4.0.0,,"Previous to version 4.0.0, referenced the FHIR Vital Signs Profile"
     -,US Core Body Weight Profile,4.0.0,,"Previous to version 4.0.0, referenced the FHIR Vital Signs Profile"
     -,US Core Body Temperature Profile,4.0.0,,"Previous to version 4.0.0, referenced the FHIR Vital Signs Profile"
     -,US Core Heart Rate Profile,4.0.0,,"Previous to version 4.0.0, referenced the FHIR Vital Signs Profile"
     -,US Core Respiratory Rate Profile,4.0.0,,"Previous to version 4.0.0, referenced the FHIR Vital Signs Profile"
     -,US Core Pediatric BMI for Age Observation Profile,3.1.1*,,"3.1.1* based on the FHIR Vital Signs Profile, 4.0.0+ based on the US Core Vital Signs Profile"
     -,US Core Pediatric Head Occipital Frontal Circumference Percentile Profile,3.1.1*,,"3.1.1* based on the FHIR Vital Signs Profile, 4.0.0+ based on the US Core Vital Signs Profile"
     -,US Core Pediatric Weight for Height Observation Profile,3.1.1*,,"3.1.1* based on the FHIR Vital Signs Profile, 4.0.0+ based on the US Core Vital Signs Profile"
     -,US Core Pulse Oximetry Profile,3.1.1*,,"3.1.1* based on the FHIR Vital Signs Profile, 4.0.0+ based on the US Core Vital Signs Profile"
     -,US Core DiagnosticReport Profile for Report and Note Exchange,3.1.1*,,
     -,US Core Encounter Profile,3.1.1*,,
     -,US Core Location Profile,3.1.1*,,
     -,US Core Organization Profile,3.1.1*,,
     -,US Core Practitioner Profile,3.1.1*,,
     -,US Core PractitionerRole Profile,3.1.1*,,
     -,US Core Provenance Profile,3.1.1*,,
     -,US Core Observation Sexual Orientation Profile,5.0.0,,After version 7.0.0 this extension is no longer a USCDI requirement.
